"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"11/17/2023","11/17/2023","11/20/2023","HOOD","Option Expiration for HOOD 11/17/2023 Call $11.00","OEXP","3","",""
"11/17/2023","11/17/2023","11/20/2023","TSLA","Option Expiration for TSLA 11/17/2023 Call $260.00","OEXP","1","",""
"11/17/2023","11/17/2023","11/20/2023","TSLA","Option Expiration for TSLA 11/17/2023 Call $265.00","OEXP","2","",""
"11/17/2023","11/17/2023","11/20/2023","TSLA","TSLA 12/1/2023 Call $280.00","STC","1","$0.60","$59.95"
"11/17/2023","11/17/2023","11/20/2023","TSLA","TSLA 12/1/2023 Call $280.00","BTO","1","$0.59","($59.03)"
"11/17/2023","11/17/2023","11/20/2023","TSLA","TSLA 11/24/2023 Call $265.00","BTC","1","$0.40","($40.03)"
"11/17/2023","11/17/2023","11/20/2023","TSLA","TSLA 11/24/2023 Call $270.00","BTC","1","$0.26","($26.03)"
"11/16/2023","11/16/2023","11/17/2023","","ACH Deposit","ACH","","","$1,000.00"
"11/16/2023","11/16/2023","11/16/2023","","Internal transfer from rhs_account account to rhs_traditional_ira account","ITRF","","","($6,500.00)"
"11/15/2023","11/15/2023","11/16/2023","","ACH Deposit","ACH","","","$1,000.00"
"11/14/2023","11/14/2023","11/15/2023","TSLA","TSLA 11/24/2023 Call $265.00","STO","1","$0.55","$54.95"
"11/14/2023","11/14/2023","11/15/2023","TSLA","TSLA 12/1/2023 Call $270.00","STO","1","$1.07","$106.95"
"11/14/2023","11/14/2023","11/15/2023","TSLA","TSLA 12/1/2023 Call $275.00","STO","1","$0.80","$79.95"
"11/14/2023","11/14/2023","11/15/2023","TSLA","TSLA 11/24/2023 Call $270.00","STO","1","$0.40","$39.95"
"11/10/2023","11/10/2023","11/13/2023","TSLA","Option Expiration for TSLA 11/10/2023 Call $265.00","OEXP","1","",""
"11/10/2023","11/10/2023","11/13/2023","TSLA","Option Expiration for TSLA 11/10/2023 Call $260.00","OEXP","1","",""
"11/7/2023","11/7/2023","11/9/2023","COIN","Coinbase
CUSIP: 19260Q107","Sell","1","$87.00","$87.00"
"11/3/2023","11/3/2023","11/6/2023","TSLA","Option Expiration for TSLA 11/3/2023 Call $267.50","OEXP","1","",""
"11/2/2023","11/2/2023","11/6/2023","COIN","Coinbase
CUSIP: 19260Q107","Sell","2","$84.00","$168.00"
"11/2/2023","11/2/2023","11/3/2023","TSLA","TSLA 11/17/2023 Call $265.00","STO","1","$0.24","$23.95"
"11/2/2023","11/2/2023","11/6/2023","COIN","Coinbase
CUSIP: 19260Q107","Sell","1","$83.70","$83.70"
"11/2/2023","11/2/2023","11/6/2023","COIN","Coinbase
CUSIP: 19260Q107","Sell","1","$83.70","$83.70"
"11/2/2023","11/2/2023","11/6/2023","COIN","Coinbase
CUSIP: 19260Q107","Sell","2","$83.60","$167.20"
"11/2/2023","11/2/2023","11/3/2023","TSLA","TSLA 11/10/2023 Call $265.00","STO","1","$0.08","$7.95"
"11/2/2023","11/2/2023","11/3/2023","TSLA","TSLA 11/10/2023 Call $260.00","STO","1","$0.09","$8.95"
"11/2/2023","11/2/2023","11/3/2023","TSLA","TSLA 11/17/2023 Call $260.00","STO","1","$0.33","$32.95"
"11/2/2023","11/2/2023","11/3/2023","TSLA","TSLA 11/10/2023 Call $250.00","BTC","1","$0.21","($21.03)"
"11/2/2023","11/2/2023","11/3/2023","TSLA","TSLA 11/17/2023 Call $270.00","BTC","1","$0.19","($19.03)"
"11/2/2023","11/2/2023","11/3/2023","TSLA","TSLA 11/17/2023 Call $265.00","STO","1","$0.20","$19.95"
"10/31/2023","10/31/2023","11/1/2023","HOOD","HOOD 11/17/2023 Call $11.00","STO","3","$0.08","$23.89"
"10/30/2023","10/30/2023","11/1/2023","TSLA","Tesla
CUSIP: 88160R101","Buy","2","$199.00","($398.00)"
"10/30/2023","10/30/2023","11/1/2023","TSLA","Tesla
CUSIP: 88160R101","Buy","2","$202.00","($404.00)"
"10/27/2023","10/27/2023","10/30/2023","TSLA","Option Expiration for TSLA 10/27/2023 Call $292.50","OEXP","1","",""
"10/27/2023","10/27/2023","10/30/2023","TSLA","Option Expiration for TSLA 10/27/2023 Call $287.50","OEXP","1","",""
"10/27/2023","10/27/2023","10/30/2023","TSLA","TSLA 11/10/2023 Call $270.00","BTC","1","$0.09","($9.03)"
"10/27/2023","10/27/2023","10/30/2023","TSLA","TSLA 11/3/2023 Call $300.00","BTC","1","$0.01","($1.03)"
"10/27/2023","10/27/2023","10/30/2023","TSLA","TSLA 11/3/2023 Call $270.00","BTC","1","$0.03","($3.03)"
"10/27/2023","10/27/2023","10/30/2023","TSLA","TSLA 11/17/2023 Call $270.00","STO","1","$0.25","$24.95"
"10/27/2023","10/27/2023","10/30/2023","TSLA","TSLA 11/10/2023 Call $250.00","STO","1","$0.34","$33.95"
"10/26/2023","10/26/2023","10/27/2023","TSLA","TSLA 11/10/2023 Call $270.00","STO","1","$0.16","$15.95"
