tickers,transactionType,qty,strikePrice,unitCost,createdAt,expirationDate,status,tag
RIVN,BTC,1.000000,25.000000,5.900000,2022-05-09T14:22:45.480298Z,2022-09-16,Expired,buy put
RIVN,STC,1.000000,25.000000,6.450000,2022-05-10T13:40:56.306992Z,2022-09-16,Expired,sell put
GM,BTC,1.000000,55.000000,4.550000,2021-11-29T14:53:37.278763Z,2022-06-17,Expired,buy put
GM,STC,1.000000,55.000000,4.250000,2021-12-16T14:53:11.533534Z,2022-06-17,Expired,sell put
OSCR,STC,1.000000,30.000000,0.050000,2021-09-21T16:41:31.128415Z,2021-10-15,Expired,sell call
TRNE,STC,1.000000,22.500000,0.400000,2020-11-30T14:44:11.758857Z,2020-12-18,Expired,sell call
IPOC,STC,1.000000,20.000000,0.200000,2020-11-30T14:42:50.634910Z,2021-01-15,Expired,sell call
ABCL,STC,1.000000,25.000000,1.300000,2021-04-15T16:00:46.460139Z,2021-05-21,Expired,sell put
ABCL,STC,1.000000,45.000000,0.400000,2021-04-21T18:01:43.283083Z,2021-05-21,Expired,sell call
ABCL,STC,1.000000,22.500000,1.250000,2021-04-30T16:36:18.495984Z,2021-06-18,Expired,sell put
ABCL,STC,1.000000,22.500000,0.900000,2021-05-26T17:06:04.156973Z,2021-07-16,Assigned,sell put
ABCL,STC,1.000000,35.000000,0.300000,2021-06-07T16:05:46.297012Z,2021-06-18,Expired,sell call
ABCL,STC,1.000000,19.000000,0.550000,2021-06-09T17:30:22.233613Z,2021-07-16,Assigned,sell put
ABCL,STC,1.000000,22.500000,1.250000,2021-06-14T14:37:02.309039Z,2021-07-16,Assigned,sell put
ABCL,STC,1.000000,12.500000,0.600000,2021-07-14T18:28:22.500863Z,2021-10-15,Expired,sell put
ABCL,STC,6.000000,25.000000,0.050000,2021-08-09T15:14:23.083698Z,2021-08-20,Expired,sell call
ABCL,STC,1.000000,30.000000,0.050000,2021-09-02T16:45:15.737421Z,2021-10-15,Expired,sell call
ABCL,STC,1.000000,30.000000,0.050000,2021-09-02T16:45:42.389981Z,2021-10-15,Expired,sell call
ABCL,STC,1.000000,30.000000,0.050000,2021-09-02T16:46:13.212079Z,2021-10-15,Expired,sell call
ABCL,STC,1.000000,30.000000,0.050000,2021-09-02T16:46:28.715183Z,2021-10-15,Expired,sell call
ABCL,STC,1.000000,30.000000,0.050000,2021-09-02T16:46:50.576252Z,2021-10-15,Expired,sell call
ABCL,STC,1.000000,25.000000,0.500000,2021-11-30T15:19:07.858964Z,2022-04-14,Expired,sell call
ABCL,STC,1.000000,35.000000,0.100000,2021-11-30T15:36:46.734502Z,2022-04-14,Expired,sell call
ABCL,STC,1.000000,20.000000,0.300000,2022-06-30T18:21:24.060449Z,2022-10-21,Expired,sell call
ABCL,STC,1.000000,20.000000,0.300000,2022-08-10T14:43:57.571376Z,2022-10-21,Expired,sell call
ABCL,STC,1.000000,19.000000,0.100000,2022-11-03T14:04:58.371839Z,2022-12-16,Expired,sell call
ABCL,STC,5.000000,18.000000,0.150000,2022-11-08T17:58:16.626987Z,2022-12-16,Expired,sell call
ABCL,STC,1.000000,9.000000,0.050000,2023-05-30T14:41:33.746885Z,2023-06-16,Expired,sell call
ABCL,STC,1.000000,10.000000,0.050000,2023-06-13T15:04:36.879715Z,2023-07-21,Expired,sell call
ABCL,STC,1.000000,10.000000,0.050000,2023-07-31T16:15:21.324138Z,2023-08-18,Expired,sell call
