tickers,transactionType,qty,unitCost,createdAt,tag
LMND,buy,5.000000,68.660000,2020-07-29 16:57:06,buy
LMND,buy,1.000000,60.470000,2020-08-04 15:25:36,buy
LMND,buy,2.000000,55.000000,2020-08-14 00:07:23,buy
LMND,buy,1.000000,61.830000,2020-08-19 17:05:03,buy
LMND,buy,1.000000,60.790000,2020-08-20 16:59:45,buy
LMND,buy,1.000000,59.860000,2020-08-21 18:22:26,buy
LMND,buy,1.000000,59.300000,2020-08-27 16:58:46,buy
LMND,buy,1.000000,56.000000,2020-09-01 15:16:57,buy
LMND,buy,1.000000,56.000000,2020-09-01 19:03:25,buy
LMND,buy,1.000000,53.370000,2020-09-02 15:53:23,buy
LMND,sell,3.000000,67.793300,2020-11-25 20:21:14,sell
TRNE,buy,1.000000,11.030000,2020-08-28 16:32:26,buy
TRNE,buy,10.000000,12.200000,2020-09-17 18:48:53,buy
TRNE,buy,5.000000,11.726000,2020-09-21 14:06:52,buy
TRNE,buy,4.000000,11.540000,2020-09-21 15:16:24,buy
TRNE,buy,10.000000,10.944000,2020-09-25 18:07:44,buy
TRNE,buy,10.000000,10.620000,2020-10-16 14:29:58,buy
TRNE,buy,10.000000,10.517000,2020-11-18 14:46:14,buy
IBIO,buy,20.000000,2.580000,2020-08-24 16:28:34,buy
BYND,buy,2.000000,62.730000,2019-05-05 21:16:03,buy
BYND,sell,2.000000,63.385000,2019-05-10 16:04:10,sell
IPOB,buy,10.000000,15.470000,2020-09-15 16:27:39,buy
IPOB,buy,10.000000,14.000000,2020-09-17 13:52:30,buy
XPEV,buy,20.000000,23.440000,2020-08-27 16:54:40,buy
XPEV,buy,100.000000,23.730000,2020-08-27 16:54:53,buy
NVDA,buy,1.000000,486.370000,2020-08-20 16:59:24,buy
CODX,buy,10.000000,15.570000,2020-08-17 18:05:48,buy
CODX,buy,20.000000,15.580000,2020-08-17 18:06:45,buy
CODX,buy,1.000000,15.280000,2020-08-18 16:56:21,buy
CODX,buy,1.000000,15.200000,2020-08-19 14:00:21,buy
,sell,1.000000,3.610000,2018-03-07 17:52:20,sell
,sell,1.000000,151.000000,2018-03-26 14:48:14,sell
,sell,1.000000,22.800000,2018-06-15 15:00:18,sell
,sell,2.000000,4.050000,2018-06-26 17:12:14,sell
,sell,4.000000,10.420000,2018-07-05 15:09:31,sell
,sell,1.000000,29.300000,2018-07-06 04:46:34,sell
,sell,2.000000,26.750000,2018-10-13 05:51:25,sell
,sell,2.000000,32.380000,2018-10-13 05:51:57,sell
,sell,1.000000,4.500000,2019-12-20 16:45:44,sell
,sell,26.000000,35.111200,2019-12-31 14:34:45,sell
,sell,320.000000,0.400500,2020-07-29 16:45:38,sell
,buy,1.000000,12.270000,2020-08-10 18:57:23,buy
,sell,10.000000,30.810000,2020-08-13 15:46:36,sell
,sell,50.000000,14.213000,2020-08-18 15:00:50,sell
,sell,120.000000,24.340000,2020-08-27 16:57:12,sell
,sell,32.000000,11.440000,2020-08-28 16:38:14,sell
,sell,2.000000,92.105000,2020-09-04 14:29:40,sell
,sell,3.000000,31.790000,2020-09-04 14:29:53,sell
,sell,5.000000,56.010000,2020-09-04 14:31:52,sell
,sell,15.000000,17.403300,2020-09-04 14:32:16,sell
,sell,1.000000,119.490000,2020-09-04 14:32:45,sell
,sell,20.000000,1.685000,2020-09-04 14:37:13,sell
,sell,6.000000,89.491700,2020-09-04 14:49:47,sell
,sell,10.000000,31.092000,2020-09-04 16:10:38,sell
,sell,114.000000,21.338400,2020-09-21 15:19:44,sell
,sell,20.000000,16.265000,2020-09-22 14:47:53,sell
,sell,1.000000,529.400000,2020-11-11 15:13:15,sell
,sell,9.000000,43.711100,2020-11-16 14:51:36,sell
,sell,2.000000,118.105000,2020-11-16 19:01:39,sell
,sell,4.000000,98.900000,2020-11-16 19:02:49,sell
,buy,79.000000,12.560000,2020-11-20 20:39:28,buy
,sell,2.000000,76.570000,2020-11-20 20:43:46,sell
,buy,50.000000,11.957200,2020-11-25 20:21:45,buy
,sell,1.000000,11.530000,2020-12-07 15:44:46,sell
,sell,16.000000,25.500000,2020-12-17 17:02:45,sell
,sell,30.000000,11.935000,2020-12-18 19:09:23,sell
,sell,1.000000,21.630000,2021-01-28 14:43:43,sell
,sell,1.000000,14.120000,2021-02-17 14:45:25,sell
,sell,100.000000,13.252000,2021-02-17 14:45:50,sell
,sell,28.000000,18.335000,2021-03-03 15:24:41,sell
,sell,6.000000,220.861700,2021-03-04 15:04:21,sell
,sell,12.000000,96.475000,2021-03-04 15:04:56,sell
,sell,100.000000,12.249500,2021-03-04 15:05:09,sell
,sell,100.000000,16.610200,2021-03-04 15:05:21,sell
,sell,1.000000,40.610000,2021-03-04 17:52:21,sell
,sell,100.000000,15.120700,2021-03-05 15:11:55,sell
,sell,1.000000,10.220000,2021-03-05 15:43:33,sell
,sell,1.000000,10.550000,2021-03-05 15:43:42,sell
,sell,245.000000,22.521800,2021-07-13 14:18:21,sell
,sell,1.000000,22.800000,2021-07-15 13:54:45,sell
,sell,5.000000,169.510000,2021-09-13 14:01:50,sell
,sell,150.000000,16.940000,2021-10-27 15:33:48,sell
,sell,100.000000,10.220000,2021-10-27 15:37:37,sell
,buy,5.000000,14.400000,2022-01-18 14:56:32,buy
,sell,100.000000,2.652300,2022-01-21 15:02:48,sell
,sell,5.000000,33.306000,2022-11-10 15:59:38,sell
,sell,1.000000,332.000000,2023-08-04 14:53:10,sell
,sell,100.000000,4.922000,2023-09-25 14:04:50,sell
,buy,2.000000,199.000000,2023-10-30 14:39:51,buy
,sell,1.000000,18.660000,2023-11-20 18:15:57,sell
,sell,2.000000,104.700000,2023-11-20 18:16:32,sell
PLTR,buy,5.000000,24.756000,2021-03-18 15:40:12,buy
PLTR,buy,5.000000,23.736000,2021-03-19 13:47:47,buy
PLTR,buy,10.000000,22.105000,2021-03-24 18:55:02,buy
PLTR,buy,50.000000,19.985000,2021-05-06 15:25:41,buy
PLTR,buy,25.000000,19.989600,2021-05-06 15:25:59,buy
PLTR,buy,50.000000,19.960000,2021-05-06 15:26:55,buy
PLTR,buy,100.000000,17.905000,2021-05-13 17:51:58,buy
VGAC,buy,1.000000,14.750000,2021-02-09 15:46:41,buy
IPOD,buy,1.000000,11.480000,2020-12-07 16:00:05,buy
IPOD,buy,13.000000,12.199200,2020-12-17 17:06:40,buy
IPOD,buy,86.000000,15.690000,2021-01-19 14:40:07,buy
SOGO,buy,1.000000,14.130000,2018-06-16 15:32:35,buy
SOGO,buy,3.000000,11.800000,2018-06-26 17:20:46,buy
META,buy,1.000000,167.500000,2018-03-20 04:41:36,buy
BB,buy,1.000000,20.170000,2021-01-27 14:31:01,buy
TCEHY,buy,1.000000,79.920000,2020-11-06 15:04:34,buy
TCEHY,buy,1.000000,73.650000,2020-11-10 15:52:37,buy
ARKW,buy,2.000000,108.000000,2020-08-28 15:12:03,buy
NVAX,buy,5.000000,143.730000,2020-08-14 19:02:50,buy
NVAX,buy,1.000000,122.750000,2020-08-24 13:59:52,buy
UBER,buy,3.000000,29.066700,2020-06-29 15:23:41,buy
UBER,sell,3.000000,29.483300,2020-06-29 15:51:42,sell
UBER,buy,10.000000,32.800000,2020-07-12 18:49:08,buy
PATH,buy,1.000000,18.400000,2023-06-16 15:20:36,buy
CURV,buy,1.000000,28.260000,2021-07-07 15:48:00,buy
LGVW,buy,1.000000,12.060000,2020-11-20 19:15:50,buy
LGVW,buy,20.000000,12.483500,2020-11-20 20:38:34,buy
ARKQ,buy,5.000000,53.000000,2020-07-29 16:54:41,buy
OSCR,buy,100.000000,17.530000,2021-09-20 16:52:33,buy
OSCR,buy,50.000000,14.624800,2021-10-11 13:56:56,buy
DUOL,buy,5.000000,102.000000,2021-07-28 01:04:55,buy
TSIA,buy,1.000000,18.750000,2021-01-25 14:40:04,buy
SGH,buy,1.000000,44.700000,2018-03-20 15:04:28,buy
SGH,sell,1.000000,49.350000,2018-03-22 23:36:27,sell
SGH,buy,3.000000,53.000000,2018-03-26 15:00:49,buy
SGH,sell,1.000000,32.240000,2018-06-26 15:17:51,sell
CVRR,buy,2.000000,22.150000,2018-05-22 22:17:20,buy
CVRR,sell,1.000000,23.150000,2018-06-12 17:55:57,sell
ARKG,buy,2.000000,60.585000,2020-08-28 17:01:13,buy
ARKG,buy,5.000000,99.790000,2021-01-27 14:43:47,buy
ARKG,buy,5.000000,99.830000,2021-01-27 14:44:17,buy
ARKG,sell,2.000000,35.325000,2022-10-04 15:00:19,sell
ARKG,sell,5.000000,32.680000,2022-11-03 14:03:57,sell
HOOD,buy,20.000000,38.000000,2021-07-28 15:46:12,buy
HOOD,buy,10.000000,18.150000,2021-12-15 15:12:44,buy
HOOD,buy,10.000000,18.000000,2021-12-16 16:32:46,buy
HOOD,buy,10.000000,18.200000,2021-12-16 16:33:10,buy
HOOD,buy,10.000000,17.900000,2021-12-20 16:09:05,buy
HOOD,buy,10.000000,18.100000,2021-12-20 16:09:35,buy
HOOD,buy,5.000000,18.400000,2021-12-27 15:55:44,buy
HOOD,buy,10.000000,17.650000,2021-12-28 19:10:00,buy
HOOD,buy,10.000000,16.500000,2022-01-05 17:06:47,buy
IPOF,buy,20.000000,11.140000,2020-12-17 17:03:13,buy
IPOF,buy,20.000000,11.420000,2020-12-18 19:10:13,buy
IPOF,buy,5.000000,11.310000,2020-12-21 17:46:09,buy
IPOF,buy,55.000000,14.800000,2021-01-19 14:39:49,buy
SQM,buy,1.000000,30.580000,2020-08-04 15:13:14,buy
SQM,buy,2.000000,31.165000,2020-08-05 16:56:40,buy
BTNB,buy,100.000000,12.639900,2021-01-26 16:17:08,buy
NUGT,buy,10.000000,28.580000,2019-12-11 17:44:34,buy
NUGT,buy,10.000000,28.450000,2019-12-11 18:55:55,buy
NUGT,sell,20.000000,30.180000,2019-12-12 02:27:06,sell
NUGT,buy,20.000000,28.500000,2019-12-12 15:20:00,buy
NUGT,sell,20.000000,29.400000,2019-12-13 21:26:42,sell
NUGT,buy,2.000000,28.300000,2019-12-17 14:44:19,buy
NUGT,sell,2.000000,28.350000,2019-12-18 15:51:22,sell
NUGT,buy,2.000000,28.090000,2019-12-18 16:05:56,buy
NUGT,sell,2.000000,28.130000,2019-12-18 16:41:21,sell
